Elapsed_Time,Volume (ml)
1.007713794708252,0.0
1.0962905883789062,0.0
1.19093656539917,0.0
1.2847659587860107,0.0
1.3748934268951416,0.0
1.4691674709320068,0.0
1.5637025833129883,0.0
1.6540336608886719,0.0
1.7477478981018066,0.0
1.8415989875793457,0.0
1.9322028160095215,0.0
2.0310709476470947,0.0
2.1328115463256836,0.0
2.2311458587646484,0.0
2.333519220352173,0.0
2.4314990043640137,8.0
2.5346028804779053,20.0
2.6327006816864014,34.0
2.7351696491241455,60.0
2.8337535858154297,85.0
2.931903123855591,104.0
3.033599853515625,148.0
3.1327426433563232,244.0
3.23506760597229,345.0
3.3329389095306396,401.0
3.4357354640960693,416.0
3.5338566303253174,416.0
3.6366493701934814,416.0
3.7346742153167725,416.0
3.8329474925994873,416.0
3.935398578643799,416.0
4.0329389572143555,416.0
4.135969400405884,416.0
4.234487533569336,416.0
4.336395025253296,416.0
4.435007810592651,416.0
4.5367653369903564,416.0
4.635680437088013,416.0
4.734258413314819,416.0
4.8365395069122314,416.0
4.934440612792969,416.0
5.036797046661377,416.0
5.135623931884766,416.0
5.237645149230957,416.0
5.3361241817474365,416.0
5.438469171524048,416.0
5.5368812084198,416.0
5.639321327209473,416.0
5.737503528594971,416.0
5.835719108581543,416.0
5.938075304031372,416.0
6.036617755889893,416.0
6.138311386108398,416.0
6.237524509429932,416.0
6.339527130126953,416.0
6.437615394592285,415.0
6.54025936126709,410.0
6.639340400695801,400.0
6.7373247146606445,391.0
6.83841347694397,377.0
6.937582015991211,368.0
7.039315462112427,370.0
7.137858867645264,375.0
7.240530490875244,381.0
7.338651180267334,381.0
7.4406898021698,381.0
7.538883209228516,381.0
7.637766122817993,381.0
7.739825963973999,381.0
7.838181495666504,381.0
7.940918684005737,381.0
8.038926601409912,381.0
8.141777515411377,380.0
8.239639282226562,381.0
8.342672348022461,381.0
8.440329790115356,380.0
8.543120384216309,381.0
8.64156723022461,381.0
8.739213228225708,381.0
8.841902732849121,381.0
8.940619230270386,381.0
9.043004035949707,381.0
9.140769004821777,381.0
9.243792057037354,381.0
9.341784715652466,381.0
9.443663835525513,381.0
9.54277491569519,381.0
9.640451192855835,381.0
9.742538213729858,381.0
9.840831279754639,381.0
9.943639039993286,381.0
10.042183637619019,381.0
10.144726037979126,381.0
10.243068933486938,381.0
10.345288038253784,381.0
10.443739175796509,381.0
10.542035579681396,381.0
10.643760442733765,381.0
